GAME_DATE,GAME_ID,MATCHUP,HOME_TEAM,AWAY_TEAM,HOME_PREV_SEAS_WIN_PERC,HOME_PREV_SEAS_AVG_PTS_PER_GAME,HOME_PREV_SEAS_FG_PERC,HOME_PREV_SEAS_THREE_PERC,HOME_PREV_SEAS_FREE_THROW_PERC,HOME_PREV_SEAS_PLUS_MINUS,AWAY_PREV_SEAS_WIN_PERC,AWAY_PREV_SEAS_AVG_PTS_PER_GAME,AWAY_PREV_SEAS_FG_PERC,AWAY_PREV_SEAS_THREE_PERC,AWAY_PREV_SEAS_FREE_THROW_PERC,AWAY_PREV_SEAS_PLUS_MINUS,HOME_WIN
11/2/2013,21300036,MEM @ DAL,DAL,MEM,0.5,101.1,46.2,37.2,79.3,-0.6,0.683,93.4,44.4,34.5,77.3,4.1,1
11/2/2013,21300035,CHA @ NOP,NOP,CHA,0.329,94.1,44.8,36.3,77.6,-3.9,0.256,93.4,42.5,33.5,75,-9.2,1
11/2/2013,21300040,SAC @ GSW,GSW,SAC,0.573,101.2,45.8,40.3,79,0.9,0.341,100.2,44.7,36.3,76.9,-4.9,1
11/3/2013,21300042,WAS @ MIA,MIA,WAS,0.805,102.9,49.6,39.6,75.4,7.9,0.354,93.2,43.5,36.5,73.3,-2.5,1
11/3/2013,21300046,ATL @ LAL,LAL,ATL,0.549,102.2,45.8,35.5,69.2,1.2,0.537,98,46.4,37.1,71.5,0.4,1
11/3/2013,21300045,MIN @ NYK,NYK,MIN,0.659,100,44.8,37.6,75.9,4.2,0.378,95.7,43.9,30.5,74.2,-2.4,0
11/3/2013,21300044,PHX @ OKC,OKC,PHX,0.732,105.7,48.1,37.7,82.8,9.2,0.305,95.2,44.3,33,74.4,-6.5,1
11/3/2013,21300041,BOS @ DET,DET,BOS,0.354,94.9,44.9,35.6,69.9,-4,0.506,96.5,46.5,35.8,77.6,-0.2,1
11/3/2013,21300043,BKN @ ORL,ORL,BKN,0.244,94.1,44.8,32.9,75.5,-7,0.598,96.9,45,35.7,73.1,1.8,1
11/4/2013,21300050,HOU @ LAC,LAC,HOU,0.683,101.1,47.8,35.8,71.1,6.5,0.549,106,46.1,36.6,75.4,3.5,1
11/4/2013,21300049,BOS @ MEM,MEM,BOS,0.683,93.4,44.4,34.5,77.3,4.1,0.506,96.5,46.5,35.8,77.6,-0.2,1
11/4/2013,21300047,MIN @ CLE,CLE,MIN,0.293,96.5,43.4,34.6,75.6,-4.7,0.378,95.7,43.9,30.5,74.2,-2.4,1
11/4/2013,21300048,GSW @ PHI,PHI,GSW,0.415,93.2,44.4,36,72.9,-3.3,0.573,101.2,45.8,40.3,79,0.9,0
11/5/2013,21300052,UTA @ BKN,BKN,UTA,0.598,96.9,45,35.7,73.1,1.8,0.524,98,45.4,36.6,76.4,-0.1,1
11/5/2013,21300057,SAS @ DEN,DEN,SAS,0.695,106.1,47.8,34.3,70.1,5.1,0.707,103,48.1,37.6,79.1,6.4,0
11/5/2013,21300051,MIA @ TOR,TOR,MIA,0.415,97.2,44.6,34.3,78.8,-1.5,0.805,102.9,49.6,39.6,75.4,7.9,0
11/5/2013,21300059,ATL @ SAC,SAC,ATL,0.341,100.2,44.7,36.3,76.9,-4.9,0.537,98,46.4,37.1,71.5,0.4,0
11/5/2013,21300053,IND @ DET,DET,IND,0.354,94.9,44.9,35.6,69.9,-4,0.605,94.7,43.6,34.7,74.6,4,0
11/5/2013,21300055,PHX @ NOP,NOP,PHX,0.329,94.1,44.8,36.3,77.6,-3.9,0.305,95.2,44.3,33,74.4,-6.5,0
11/5/2013,21300056,LAL @ DAL,DAL,LAL,0.5,101.1,46.2,37.2,79.3,-0.6,0.549,102.2,45.8,35.5,69.2,1.2,1
11/5/2013,21300054,CHA @ NYK,NYK,CHA,0.659,100,44.8,37.6,75.9,4.2,0.256,93.4,42.5,33.5,75,-9.2,0
11/5/2013,21300058,HOU @ POR,POR,HOU,0.402,97.5,44.8,35.3,77.6,-3.2,0.549,106,46.1,36.6,75.4,3.5,0
11/6/2013,21300066,CLE @ MIL,MIL,CLE,0.463,98.9,43.5,36,73.6,-1.5,0.293,96.5,43.4,34.6,75.6,-4.7,1
11/6/2013,21300061,CHI @ IND,IND,CHI,0.605,94.7,43.6,34.7,74.6,4,0.549,93.2,43.7,35.3,77.3,0.3,1
11/6/2013,21300063,WAS @ PHI,PHI,WAS,0.415,93.2,44.4,36,72.9,-3.3,0.354,93.2,43.5,36.5,73.3,-2.5,0
11/6/2013,21300067,GSW @ MIN,MIN,GSW,0.378,95.7,43.9,30.5,74.2,-2.4,0.573,101.2,45.8,40.3,79,0.9,0
11/6/2013,21300060,TOR @ CHA,CHA,TOR,0.256,93.4,42.5,33.5,75,-9.2,0.415,97.2,44.6,34.3,78.8,-1.5,1
11/6/2013,21300062,LAC @ ORL,ORL,LAC,0.244,94.1,44.8,32.9,75.5,-7,0.683,101.1,47.8,35.8,71.1,6.5,1
11/6/2013,21300068,PHX @ SAS,SAS,PHX,0.707,103,48.1,37.6,79.1,6.4,0.305,95.2,44.3,33,74.4,-6.5,1
11/6/2013,21300069,DAL @ OKC,OKC,DAL,0.732,105.7,48.1,37.7,82.8,9.2,0.5,101.1,46.2,37.2,79.3,-0.6,1
11/6/2013,21300065,NOP @ MEM,MEM,NOP,0.683,93.4,44.4,34.5,77.3,4.1,0.329,94.1,44.8,36.3,77.6,-3.9,0
11/6/2013,21300064,UTA @ BOS,BOS,UTA,0.506,96.5,46.5,35.8,77.6,-0.2,0.524,98,45.4,36.6,76.4,-0.1,1
11/7/2013,21300070,LAC @ MIA,MIA,LAC,0.805,102.9,49.6,39.6,75.4,7.9,0.683,101.1,47.8,35.8,71.1,6.5,1
11/7/2013,21300071,ATL @ DEN,DEN,ATL,0.695,106.1,47.8,34.3,70.1,5.1,0.537,98,46.4,37.1,71.5,0.4,1
11/7/2013,21300072,LAL @ HOU,HOU,LAL,0.549,106,46.1,36.6,75.4,3.5,0.549,102.2,45.8,35.5,69.2,1.2,0
11/8/2013,21300084,SAC @ POR,POR,SAC,0.402,97.5,44.8,35.3,77.6,-3.2,0.341,100.2,44.7,36.3,76.9,-4.9,1
11/8/2013,21300081,LAL @ NOP,NOP,LAL,0.329,94.1,44.8,36.3,77.6,-3.9,0.549,102.2,45.8,35.5,69.2,1.2,1
11/8/2013,21300078,OKC @ DET,DET,OKC,0.354,94.9,44.9,35.6,69.9,-4,0.732,105.7,48.1,37.7,82.8,9.2,0
11/8/2013,21300077,BKN @ WAS,WAS,BKN,0.354,93.2,43.5,36.5,73.3,-2.5,0.598,96.9,45,35.7,73.1,1.8,1
11/8/2013,21300080,DAL @ MIN,MIN,DAL,0.378,95.7,43.9,30.5,74.2,-2.4,0.5,101.1,46.2,37.2,79.3,-0.6,1
11/8/2013,21300074,TOR @ IND,IND,TOR,0.605,94.7,43.6,34.7,74.6,4,0.415,97.2,44.6,34.3,78.8,-1.5,1
11/8/2013,21300079,UTA @ CHI,CHI,UTA,0.549,93.2,43.7,35.3,77.3,0.3,0.524,98,45.4,36.6,76.4,-0.1,1
11/8/2013,21300082,GSW @ SAS,SAS,GSW,0.707,103,48.1,37.6,79.1,6.4,0.573,101.2,45.8,40.3,79,0.9,1
11/8/2013,21300076,CLE @ PHI,PHI,CLE,0.415,93.2,44.4,36,72.9,-3.3,0.293,96.5,43.4,34.6,75.6,-4.7,1
11/8/2013,21300075,BOS @ ORL,ORL,BOS,0.244,94.1,44.8,32.9,75.5,-7,0.506,96.5,46.5,35.8,77.6,-0.2,0
