PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Carmelo Anthony,NYK,29,67,47,20,37,28.7,10,22.2,44.9,2.3,6.2,37.9,6.3,7.6,83,2,4.9,6.9,2.6,2.6,0.8,0.5,3.1,41.9,10,0,4.6
Kevin Durant,OKC,24,81,60,21,38.5,28.1,9,17.7,51,1.7,4.1,41.6,8.4,9.3,90.5,0.6,7.3,7.9,4.6,3.5,1.4,1.3,1.8,49.3,19,3,8.9
Kobe Bryant,LAL,34,78,42,36,38.6,27.3,9.5,20.4,46.3,1.7,5.2,32.4,6.7,8,83.9,0.8,4.7,5.6,6,3.7,1.4,0.3,2.2,44.4,16,2,1.8
LeBron James,MIA,28,76,61,15,37.9,26.8,10.1,17.8,56.5,1.4,3.3,40.6,5.3,7,75.3,1.3,6.8,8,7.3,3,1.7,0.9,1.4,52.1,36,4,9.5
James Harden,HOU,23,78,43,35,38.3,25.9,7.5,17.1,43.8,2.3,6.2,36.8,8.6,10.2,85.1,0.8,4.1,4.9,5.8,3.8,1.8,0.5,2.3,43.7,9,1,2.5
Russell Westbrook,OKC,24,82,60,22,34.9,23.2,8.2,18.7,43.8,1.2,3.7,32.3,5.6,7,80,1.4,3.9,5.2,7.4,3.3,1.8,0.3,2.3,43.4,23,1,7.7
Stephen Curry,GSW,25,78,45,33,38.2,22.9,8,17.8,45.1,3.5,7.7,45.3,3.4,3.7,90,0.8,3.3,4,6.9,3.1,1.6,0.2,2.5,40.3,15,0,1.7
Kyrie Irving,CLE,21,59,19,40,34.7,22.5,8.2,18.1,45.2,1.8,4.7,39.1,4.2,4.9,85.5,0.6,3.1,3.7,5.9,3.2,1.5,0.4,2.5,38.1,4,0,-3
Dwyane Wade,MIA,31,69,55,14,34.6,21.2,8.2,15.8,52.1,0.2,1,25.8,4.5,6.2,72.5,1.2,3.7,5,5.1,2.8,1.9,0.8,2,40,4,0,8.3
LaMarcus Aldridge,POR,27,74,32,42,37.7,21.1,8.6,17.8,48.4,0,0.2,14.3,3.8,4.7,81,2.4,6.7,9.1,2.6,1.9,0.8,1.2,2.5,40.1,38,0,-0.3
Tony Parker,SAS,31,66,47,19,32.9,20.3,7.9,15.1,52.2,0.4,1,35.3,4.2,5,84.5,0.3,2.7,3,7.6,2.6,0.8,0.1,1.4,35.4,17,1,6.8
Brook Lopez,BKN,25,74,46,28,30.5,19.4,7.7,14.8,52.1,0,0,0,4,5.3,75.8,2.8,4.1,6.9,0.9,1.8,0.4,2.1,2.1,35,12,0,3.9
Monta Ellis,MIL,27,82,38,44,37.5,19.2,7.3,17.5,41.6,1.1,4,28.7,3.5,4.6,77.3,0.5,3.3,3.9,6,3.1,2.1,0.4,2,37.3,9,0,-0.5
Damian Lillard,POR,22,82,33,49,38.6,19,6.7,15.7,42.9,2.3,6.1,36.8,3.3,3.9,84.4,0.5,2.6,3.1,6.5,3,0.9,0.2,2.1,33,7,0,-0.8
Deron Williams,BKN,29,78,46,32,36.4,18.9,6.3,14.4,44,2.2,5.7,37.8,4.1,4.7,85.9,0.4,2.6,3,7.7,2.8,1,0.4,2.5,35.4,21,0,2.2
Paul Pierce,BOS,35,77,41,36,33.4,18.6,6.2,14.2,43.6,1.9,5,38,4.3,5.5,78.7,0.6,5.7,6.3,4.8,2.8,1.1,0.4,2.7,35,12,3,1.6
John Wall,WAS,22,49,24,25,32.7,18.5,6.6,15,44.1,0.2,0.9,26.7,5,6.2,80.4,0.7,3.3,4,7.6,3.2,1.3,0.8,2.4,37.7,14,0,0.9
David Lee,GSW,30,79,46,33,36.8,18.5,7.6,14.7,51.9,0,0.1,0,3.2,4.1,79.7,2.8,8.5,11.2,3.5,2.6,0.8,0.3,3.1,38,56,1,2.2
Kevin Love,MIN,24,18,9,9,34.3,18.3,5.8,16.6,35.2,1.1,5.1,21.7,5.6,7.9,70.4,3.6,10.4,14,2.3,2.2,0.7,0.5,1.9,40.1,14,0,0.1
Rudy Gay,TOR,26,75,46,29,35.8,18.2,6.9,16.7,41.6,1.1,3.5,32.3,3.2,3.9,81.4,1.3,4.8,6.1,2.7,2.6,1.5,0.7,2.4,33.6,6,0,2.9
DeMar DeRozan,TOR,23,82,34,48,36.7,18.1,6.7,15,44.5,0.4,1.5,28.3,4.3,5.2,83.1,0.6,3.3,3.9,2.5,1.8,0.9,0.3,2.1,28.3,0,0,-1.4
JR Smith,NYK,27,80,53,27,33.5,18.1,6.6,15.6,42.2,1.9,5.5,35.6,3,3.9,76.2,0.8,4.5,5.3,2.7,1.7,1.3,0.3,2.8,31.5,8,0,3.7
Blake Griffin,LAC,24,80,55,25,32.5,18,7.2,13.4,53.8,0.1,0.4,17.9,3.5,5.3,66,2.3,6,8.3,3.7,2.3,1.2,0.6,2.9,36.7,28,1,4.8
Al Jefferson,UTA,28,78,41,37,33.1,17.8,7.8,15.8,49.4,0,0.2,11.8,2.1,2.8,77,2,7.2,9.2,2.1,1.3,1,1.1,2.2,37.2,37,0,-2
Tim Duncan,SAS,37,69,50,19,30.1,17.8,7.1,14.1,50.2,0,0.1,28.6,3.6,4.3,81.7,1.8,8.1,9.9,2.7,2.1,0.7,2.7,1.7,41.7,36,0,6.7
Kemba Walker,CHA,23,82,21,61,34.9,17.7,6.4,15.2,42.3,1.3,4,32.2,3.6,4.5,79.8,0.7,2.7,3.5,5.7,2.4,2,0.4,1.9,35.1,5,0,-5.7
Jrue Holiday,PHI,23,78,34,44,37.5,17.7,7.1,16.5,43.1,1.2,3.2,36.8,2.3,3.1,75.2,1.1,3.1,4.2,8,3.7,1.6,0.4,2.2,37,20,1,-1.6
Brandon Jennings,MIL,23,80,38,42,36.2,17.5,6.2,15.6,39.9,2.2,5.8,37.5,2.9,3.5,81.9,0.7,2.3,3.1,6.5,2.5,1.6,0.1,1.9,33.4,13,0,-3.6
Josh Smith,ATL,27,76,40,36,35.3,17.5,7.2,15.6,46.5,0.8,2.6,30.3,2.2,4.2,51.7,1.8,6.7,8.4,4.2,3,1.2,1.8,2.3,40,29,0,1.1
Paul George,IND,23,79,48,31,37.6,17.4,6.2,14.9,41.9,2.2,5.9,36.2,2.8,3.5,80.7,1.1,6.5,7.6,4.1,2.9,1.8,0.6,2.9,37.2,23,1,4.6
Al Horford,ATL,27,74,42,32,37.2,17.4,7.8,14.3,54.3,0,0.1,50,1.8,2.8,64.4,2.6,7.6,10.2,3.2,2,1.1,1.1,2.2,38.9,43,0,2.2
Dirk Nowitzki,DAL,35,53,28,25,31.3,17.3,6.5,13.7,47.1,1.2,3,41.4,3.1,3.6,86,0.7,6.2,6.8,2.5,1.3,0.7,0.7,1.8,32.2,6,0,1.1
David West,IND,32,73,43,30,33.4,17.1,6.9,13.8,49.8,0.1,0.3,21.1,3.3,4.3,76.8,2,5.7,7.7,2.9,2.2,1,0.9,2,34.5,16,1,5
DeMarcus Cousins,SAC,22,75,26,49,30.5,17.1,6.4,13.8,46.5,0.1,0.3,18.2,4.2,5.6,73.8,3,7,9.9,2.7,3,1.4,0.7,3.6,36.5,35,1,-4
Dwight Howard,LAL,27,76,42,34,35.8,17.1,6.2,10.7,57.8,0,0.1,16.7,4.7,9.5,49.2,3.3,9.1,12.4,1.4,3,1.1,2.4,3.8,41.8,48,0,1.8
Eric Gordon,NOH,24,42,16,26,30.1,17,5.6,13.9,40.2,1.3,4.1,32.4,4.5,5.3,84.2,0.2,1.6,1.8,3.3,2.8,1.1,0.2,1.8,25.1,0,0,-0.9
Chris Paul,LAC,28,70,50,20,33.4,16.9,5.9,12.2,48.1,1.1,3.3,32.8,4.1,4.6,88.5,0.8,3,3.7,9.7,2.3,2.4,0.1,2,41.4,31,0,6.2
Ty Lawson,DEN,25,73,49,24,34.4,16.7,6.1,13.3,46.1,1.2,3.2,36.6,3.2,4.3,75.6,0.5,2.2,2.7,6.9,2.5,1.5,0.1,1.8,32.4,9,0,3.9
Chris Bosh,MIA,29,74,58,16,33.2,16.6,6.6,12.3,53.5,0.3,1,28.4,3.3,4.1,79.8,1.8,5,6.8,1.7,1.7,0.9,1.4,2.3,32.3,15,0,6.4
