PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Ramon Sessions,CHA,27,61,13,48,27.1,14.4,4.5,11.1,40.8,0.5,1.8,30.8,4.8,5.7,83.9,0.4,2.3,2.8,3.8,1.7,0.8,0.1,1.5,24.3,0,0,-6.2
Nicolas Batum,POR,24,73,32,41,38.4,14.3,4.8,11.4,42.3,2.3,6.1,37.2,2.4,2.9,84.8,1.3,4.3,5.6,4.9,2.6,1.2,1.1,1.9,33.1,7,2,-1.5
Amar'e Stoudemire,NYK,30,29,16,13,23.5,14.2,5.3,9.2,57.7,0,0,0,3.6,4.5,80.8,2.1,2.9,5,0.4,1.7,0.3,0.7,3.1,22.4,0,0,0.9
George Hill,IND,27,76,46,30,34.5,14.2,5.1,11.5,44.3,1.7,4.6,36.8,2.3,2.8,81.7,0.6,3.1,3.7,4.7,1.5,1.1,0.3,1.8,28.3,3,0,5.5
Lou Williams,ATL,26,39,22,17,28.7,14.1,4.8,11.4,42.2,1.8,5,36.7,2.7,3.1,86.8,0.2,1.8,2.1,3.6,1.9,1.1,0.3,1.4,24.2,1,0,0.1
Gordon Hayward,UTA,23,72,37,35,29.2,14.1,4.7,10.7,43.5,1.4,3.4,41.5,3.4,4.1,82.7,0.7,2.4,3.1,3,1.7,0.8,0.5,1.7,24.6,0,0,1.5
Anderson Varejao,CLE,30,25,5,20,36,14.1,5.5,11.6,47.8,0,0.2,0,3.1,4.1,75.5,5.5,8.9,14.4,3.4,1.8,1.5,0.6,2.7,40.8,16,0,-3
JJ Redick,MIL,29,78,26,52,30.5,14.1,4.9,11.3,43.4,2.1,5.8,36.6,2.2,2.4,90,0.2,2,2.2,3.8,1.8,0.5,0.1,1.5,22.5,0,0,-1.2
Marc Gasol,MEM,28,80,55,25,35,14.1,5.4,10.9,49.4,0,0.2,7.1,3.4,4,84.8,2.3,5.5,7.8,4,2,1,1.7,3.2,35.6,18,0,5.4
Kevin Martin,OKC,30,77,57,20,27.7,14,4.5,10.1,45,2.1,4.8,42.6,2.8,3.2,89,0.4,1.9,2.3,1.4,1.3,0.9,0.1,1.8,20.6,0,0,5.7
Raymond Felton,NYK,29,68,47,21,34,13.9,5.5,13,42.7,1.4,3.8,36,1.5,1.9,78.9,0.8,2.1,2.9,5.5,2.3,1.4,0.2,1.9,28.1,3,0,4.1
Bradley Beal,WAS,20,56,21,35,31.2,13.9,5,12.3,41,1.6,4.2,38.6,2.2,2.8,78.6,0.8,3,3.8,2.4,1.6,0.9,0.5,2,24.7,3,0,-1.6
Isaiah Thomas,SAC,24,79,27,52,26.9,13.9,4.6,10.5,44,1.5,4.1,35.8,3.2,3.6,88.2,0.4,1.7,2,4,1.8,0.8,0,2.1,23.3,2,0,-1.8
Greivis Vasquez,NOH,26,78,26,52,34.4,13.9,5.6,13,43.3,1.1,3.1,34.2,1.6,2,80.5,0.6,3.8,4.3,9,3.2,0.8,0.1,2.4,32.2,25,1,-2.3
Rajon Rondo,BOS,27,38,18,20,37.4,13.7,5.9,12.2,48.4,0.3,1.3,24,1.6,2.4,64.5,1.1,4.4,5.6,11.1,3.9,1.8,0.2,2.5,39.4,20,5,-1.5
Pau Gasol,LAL,32,49,27,22,33.8,13.7,5.5,11.8,46.6,0.2,0.6,28.6,2.6,3.6,70.2,2.3,6.3,8.6,4.1,2.1,0.5,1.2,1.9,33.2,15,2,2
Anthony Davis,NOH,20,64,23,41,28.8,13.5,5.5,10.6,51.6,0,0.1,0,2.6,3.5,75.1,2.6,5.6,8.2,1,1.4,1.2,1.8,2.5,32.2,20,0,-2.4
Vince Carter,DAL,36,81,41,40,25.8,13.4,4.6,10.6,43.5,2,4.9,40.6,2.2,2.8,81.6,0.7,3.4,4.1,2.4,1.3,0.9,0.5,2.8,25,1,0,3
Jeremy Lin,HOU,24,82,45,37,32.2,13.4,4.8,10.9,44.1,1.1,3.1,33.9,2.6,3.4,78.5,0.4,2.6,3,6.1,2.9,1.6,0.4,2.5,29.1,9,0,1.6
Evan Turner,PHI,24,82,34,48,35.3,13.3,5.4,12.8,41.9,0.7,1.9,36.5,1.9,2.5,74,0.7,5.6,6.3,4.3,2.3,0.9,0.2,2.4,28.3,14,0,-2.6
Brandon Knight,DET,21,75,29,46,31.5,13.3,4.8,11.7,40.7,1.6,4.4,36.7,2.2,3,73.3,0.7,2.6,3.3,4,2.7,0.8,0.1,2.1,23.2,3,0,-1.6
Serge Ibaka,OKC,23,80,58,22,31.1,13.2,5.6,9.7,57.3,0.3,0.7,35.1,1.8,2.4,74.9,2.8,4.9,7.7,0.5,1.6,0.4,3,2.7,31.8,15,0,6.1
Ersan Ilyasova,MIL,26,73,34,39,27.6,13.2,5.1,11,46.2,1.3,2.9,44.4,1.7,2.2,79.6,2.1,5,7.1,1.6,1,0.9,0.5,2.5,27.4,18,0,0.2
Nate Robinson,CHI,29,82,45,37,25.4,13.1,4.9,11.2,43.3,1.7,4.2,40.5,1.6,2.1,79.9,0.4,1.9,2.2,4.4,1.8,1,0.1,2.5,24.1,3,0,0.4
Nikola Vucevic,ORL,22,77,19,58,33.2,13.1,6,11.5,51.9,0,0,0,1.1,1.6,68.3,3.5,8.4,11.9,1.9,1.8,0.8,1,2.8,33.8,46,0,-5
Wilson Chandler,DEN,26,43,33,10,25.1,13,4.9,10.6,46.2,1.2,2.9,41.3,2,2.6,79.3,1,4,5.1,1.3,1.4,1,0.3,2.8,23.7,0,0,4.1
Andre Iguodala,DEN,29,80,57,23,34.7,13,5,11,45.1,1.1,3.6,31.7,1.9,3.4,57.4,1,4.3,5.3,5.4,2.6,1.7,0.7,1.6,32,10,1,4.8
Jarrett Jack,GSW,29,79,47,32,29.7,12.9,4.9,10.8,45.2,1,2.6,40.4,2.1,2.5,84.3,0.3,2.8,3.1,5.6,2,0.8,0.1,1.7,25.7,8,0,1.1
Mo Williams,UTA,30,46,22,24,30.8,12.9,5,11.6,43,1.3,3.3,38.3,1.6,1.8,88.2,0.5,1.9,2.4,6.2,2.7,1,0.2,2.3,25.9,3,0,-1.4
Jeff Green,BOS,26,81,41,40,27.8,12.8,4.6,10,46.7,0.9,2.2,38.5,2.6,3.3,80.8,0.7,3.2,3.9,1.6,1.6,0.7,0.8,2.2,22.8,1,0,0.1
Luis Scola,PHX,33,82,25,57,26.6,12.8,5.3,11.2,47.2,0,0.2,18.8,2.2,2.8,78.7,1.9,4.7,6.6,2.2,1.5,0.8,0.4,3.1,26.2,15,0,-2.6
JJ Hickson,POR,24,80,33,47,29,12.7,5.2,9.3,56.2,0,0,0,2.3,3.4,67.9,3.3,7,10.4,1.1,1.8,0.6,0.6,2,28.7,40,0,-3.3
Marcus Thornton,SAC,26,72,26,46,24,12.7,4.6,10.8,42.9,2,5.3,37.2,1.5,1.8,88.1,0.7,1.8,2.5,1.3,0.9,0.8,0.1,1.5,19.4,0,0,-4
Steve Nash,LAL,39,50,26,24,32.5,12.7,4.7,9.5,49.7,1.1,2.6,43.8,2.1,2.3,92.2,0.5,2.3,2.8,6.7,2.5,0.6,0.1,1.4,25.7,8,0,0.7
Andrea Bargnani,TOR,27,35,10,25,28.6,12.7,4.9,12.2,39.9,1.1,3.5,30.9,1.9,2.2,84.4,0.7,2.9,3.7,1.1,1.5,0.6,0.7,1.8,20.9,0,0,-3.2
Nene,WAS,30,61,26,35,27.2,12.6,4.7,9.7,48,0,0,0,3.2,4.4,72.9,1.7,5,6.7,2.9,2.3,0.9,0.6,2.8,27.2,7,0,1.5
