mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,param_verbosity,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.054632472991943,0.19798434055996533,0.05143318176269531,0.002082534101014653,0.6,0.5,0.1,5,10,750,0,5,0.6,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 750, 'reg_alpha': 0, 'reg_lambda': 5, 'subsample': 0.6, 'verbosity': 1}",0.6160714285714286,0.5595238095238095,0.6119402985074627,0.608955223880597,0.6298507462686567,0.6052683013503909,0.02396527334370873,355
6.813304615020752,0.29489421138154487,0.05026884078979492,0.014045754288193824,0.6,0.5,0.1,5,10,750,0,5,1.0,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 750, 'reg_alpha': 0, 'reg_lambda': 5, 'subsample': 1.0, 'verbosity': 1}",0.6101190476190477,0.5654761904761905,0.608955223880597,0.6149253731343284,0.6328358208955224,0.6064623312011371,0.022210960617768203,328
7.102457809448242,0.07941040340891238,0.0504662036895752,0.004304473641826447,0.6,0.5,0.1,5,10,750,0.1,1,0.6,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 0.6, 'verbosity': 1}",0.625,0.5625,0.6059701492537314,0.608955223880597,0.6358208955223881,0.6076492537313433,0.025050628174386923,280
6.907196474075318,0.07407920807201714,0.05624542236328125,0.003739035123599064,0.6,0.5,0.1,5,10,750,0.1,1,1.0,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 1.0, 'verbosity': 1}",0.6101190476190477,0.5803571428571429,0.6029850746268657,0.6149253731343284,0.6298507462686567,0.6076474769012083,0.016239223708055046,283
7.068403863906861,0.08356100762081153,0.04794211387634277,0.005756100966845817,0.6,0.5,0.1,5,10,750,0.1,5,0.6,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.6, 'verbosity': 1}",0.6130952380952381,0.5565476190476191,0.6149253731343284,0.608955223880597,0.6268656716417911,0.6040778251599147,0.024499708127823597,409
6.832073593139649,0.08884158754374095,0.051102495193481444,0.004518875598420382,0.6,0.5,0.1,5,10,750,0.1,5,1.0,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 1.0, 'verbosity': 1}",0.6101190476190477,0.5625,0.608955223880597,0.6149253731343284,0.6358208955223881,0.6064641080312722,0.02402424198801349,325
11.941331911087037,0.04608678487701188,0.07843818664550781,0.017306609323831035,0.6,0.5,0.1,7,1,750,0,1,0.6,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 750, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.6, 'verbosity': 1}",0.6160714285714286,0.5416666666666666,0.6,0.608955223880597,0.6417910447761194,0.6016968727789623,0.03308582526156972,469
11.62915596961975,0.08231618592225894,0.07197394371032714,0.006379390956125109,0.6,0.5,0.1,7,1,750,0,1,1.0,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 750, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 1.0, 'verbosity': 1}",0.6130952380952381,0.5803571428571429,0.6149253731343284,0.6268656716417911,0.6537313432835821,0.6177949538024164,0.02368802870809045,34
12.011105871200561,0.28961194183543604,0.07033615112304688,0.003239014065280458,0.6,0.5,0.1,7,1,750,0,5,0.6,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 750, 'reg_alpha': 0, 'reg_lambda': 5, 'subsample': 0.6, 'verbosity': 1}",0.6130952380952381,0.5505952380952381,0.6119402985074627,0.6149253731343284,0.6358208955223881,0.6052754086709311,0.028711113263273507,352
11.758204936981201,0.11430530714086695,0.0709083080291748,0.0029439043552983027,0.6,0.5,0.1,7,1,750,0,5,1.0,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 750, 'reg_alpha': 0, 'reg_lambda': 5, 'subsample': 1.0, 'verbosity': 1}",0.6160714285714286,0.5744047619047619,0.6119402985074627,0.6238805970149254,0.6477611940298508,0.6148116560056859,0.02370850715974434,61
11.9036123752594,0.16534352869931654,0.07236371040344239,0.021051665152905612,0.6,0.5,0.1,7,1,750,0.1,1,0.6,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 0.6, 'verbosity': 1}",0.6101190476190477,0.5446428571428571,0.6029850746268657,0.6119402985074627,0.6388059701492538,0.6016986496090974,0.03101537056283641,466
11.646458101272582,0.08576066596342183,0.07223305702209473,0.003905085139334233,0.6,0.5,0.1,7,1,750,0.1,1,1.0,1,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 1.0, 'verbosity': 1}",0.6190476190476191,0.5833333333333334,0.6208955223880597,0.6268656716417911,0.6537313432835821,0.6207746979388771,0.022485967253358996,16
