ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,AWAY_ATL,AWAY_BKN,AWAY_BOS,AWAY_CHA,AWAY_CHI,AWAY_CLE,AWAY_DAL,AWAY_DEN,AWAY_DET,AWAY_GSW,AWAY_HOU,AWAY_IND,AWAY_LAC,AWAY_LAL,AWAY_MEM,AWAY_MIA,AWAY_MIL,AWAY_MIN,AWAY_NOP,AWAY_NYK,AWAY_OKC,AWAY_ORL,AWAY_PHI,AWAY_PHX,AWAY_POR,AWAY_SAC,AWAY_SAS,AWAY_TOR,AWAY_UTA,AWAY_WAS,AWAY_RA_AST,AWAY_RA_BLK,AWAY_RA_DREB,AWAY_RA_FG3A,AWAY_RA_FG3M,AWAY_RA_FG3_PCT,AWAY_RA_FGA,AWAY_RA_FGM,AWAY_RA_FG_PCT,AWAY_RA_FTA,AWAY_RA_FTM,AWAY_RA_FT_PCT,AWAY_RA_OREB,AWAY_RA_PF,AWAY_RA_PLUS_MINUS,AWAY_RA_PTS,AWAY_RA_REB,AWAY_RA_STL,AWAY_RA_TOV,HOME_RA_AST,HOME_RA_BLK,HOME_RA_DREB,HOME_RA_FG3A,HOME_RA_FG3M,HOME_RA_FG3_PCT,HOME_RA_FGA,HOME_RA_FGM,HOME_RA_FG_PCT,HOME_RA_FTA,HOME_RA_FTM,HOME_RA_FT_PCT,HOME_RA_OREB,HOME_RA_PF,HOME_RA_PLUS_MINUS,HOME_RA_PTS,HOME_RA_REB,HOME_RA_STL,HOME_RA_TOV,HOME_WIN
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10752688172043023,0.18181818181818182,0.44565217391304324,0.36805555555555564,0.3770491803278689,0.43531575720416915,0.35338345864661624,0.3076923076923077,0.3333333333333335,0.39310344827586213,0.36,0.6155419222903884,0.6285714285714286,0.5874999999999999,0.46861924686192474,0.33039647577092524,0.5319148936170213,0.12962962962962965,0.4605263157894736,0.39560439560439553,0.66,0.6704545454545452,0.44966442953020125,0.4603174603174603,0.5889021479713602,0.2700729927007295,0.3555555555555556,0.47214076246334336,0.3558282208588957,0.35,0.585456475583864,0.37142857142857133,0.41333333333333355,0.704119850187266,0.3464912280701753,0.536231884057971,0.2758620689655173,0.6363636363636366,1.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4516129032258064,0.5227272727272727,0.6847826086956519,0.37500000000000006,0.4754098360655738,0.6167995095033721,0.32330827067669166,0.41758241758241765,0.5037273695420663,0.28275862068965524,0.24,0.5700408997955011,0.3999999999999999,0.3500000000000001,0.7615062761506277,0.3788546255506611,0.574468085106383,0.3333333333333334,0.5789473684210527,0.39560439560439553,0.28,0.5113636363636362,0.28859060402684555,0.2698412698412698,0.5137231503579952,0.37956204379562,0.47777777777777786,0.5307917888563047,0.4846625766871166,0.42500000000000004,0.5276008492569004,0.3857142857142857,0.8,0.4606741573033708,0.4298245614035088,0.44202898550724634,0.44827586206896547,0.6103896103896104,0.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333333333337,0.22727272727272724,0.326086956521739,0.13194444444444448,0.18032786885245905,0.44022072348252606,0.26315789473684204,0.4285714285714288,0.5612353567625137,0.3241379310344828,0.31200000000000006,0.6651329243353779,0.3571428571428571,0.575,0.46861924686192474,0.3480176211453747,0.31914893617021267,0.25925925925925936,0.5657894736842106,0.46153846153846145,0.54,0.6136363636363633,0.32885906040268464,0.34920634920634924,0.6032219570405727,0.33576642335766405,0.48888888888888893,0.5747800586510265,0.2822085889570553,0.2666666666666667,0.585456475583864,0.4285714285714285,0.4933333333333334,0.7078651685393259,0.3771929824561402,0.5289855072463767,0.32758620689655177,0.5064935064935066,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18279569892473124,0.3636363636363636,0.326086956521739,0.3958333333333334,0.6229508196721312,0.82158185162477,0.32330827067669166,0.241758241758242,0.2981895633652827,0.25517241379310346,0.28800000000000003,0.7505112474437627,0.41428571428571437,0.3374999999999999,0.3096234309623432,0.303964757709251,0.34751773049645407,0.27777777777777785,0.6447368421052633,0.3296703296703296,0.5800000000000001,0.5454545454545454,0.2953020134228188,0.2857142857142857,0.5340095465393794,0.37956204379562,0.5111111111111115,0.5601173020527856,0.2699386503067484,0.30833333333333335,0.7425690021231426,0.5,0.4800000000000002,0.7790262172284644,0.3991228070175439,0.5217391304347827,0.3103448275862069,0.4415584415584416,0.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27956989247311836,0.6590909090909092,0.4565217391304346,0.2638888888888889,0.29508196721311475,0.43531575720416915,0.35338345864661624,0.4725274725274726,0.5431309904153356,0.3034482758620691,0.31200000000000006,0.7275051124744376,0.3857142857142857,0.3500000000000001,0.7071129707112972,0.4140969162995596,0.4184397163120568,0.22222222222222227,0.3552631578947368,0.4065934065934065,0.43999999999999995,0.5113636363636362,0.20134228187919462,0.2698412698412698,0.6360381861575178,0.2919708029197081,0.37777777777777777,0.47507331378299145,0.42331288343558277,0.4833333333333333,0.7553078556263273,0.5142857142857142,0.5733333333333335,0.7116104868913858,0.381578947368421,0.507246376811594,0.37931034482758624,0.5454545454545455,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23655913978494636,0.7045454545454546,0.5652173913043477,0.3263888888888889,0.3442622950819672,0.44389944819129357,0.42105263157894735,0.4395604395604398,0.45473908413205555,0.44137931034482775,0.43200000000000005,0.7096114519427403,0.3999999999999999,0.3500000000000001,0.7071129707112972,0.46696035242290757,0.4964539007092197,0.25925925925925936,0.34210526315789475,0.2197802197802199,0.24000000000000002,0.30681818181818166,0.6308724832214766,0.49206349206349215,0.4140811455847254,0.6861313868613141,0.43333333333333335,0.26881720430107525,0.2392638036809816,0.23333333333333328,0.5838641188959661,0.6142857142857142,0.72,0.3895131086142322,0.3552631578947365,0.42753623188405787,0.44827586206896547,0.2597402597402598,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18279569892473124,0.7045454545454546,0.5108695652173911,0.34722222222222227,0.3278688524590164,0.35377069282648677,0.4285714285714284,0.4505494505494505,0.4611288604898829,0.42758620689655175,0.43200000000000005,0.7520449897750514,0.4571428571428572,0.2875000000000001,0.7489539748953976,0.4713656387665197,0.4893617021276597,0.3333333333333334,0.3684210526315789,0.0219780219780219,0.24000000000000002,0.36363636363636354,0.25503355704697983,0.23809523809523803,0.49522673031026254,0.5401459854014599,0.4111111111111112,0.3626588465298146,0.15950920245398775,0.15833333333333333,0.6677282377919322,0.4571428571428572,0.3999999999999999,0.20599250936329588,0.2280701754385963,0.3840579710144927,0.3620689655172414,0.6753246753246754,0.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.34408602150537637,0.2727272727272727,0.6630434782608694,0.3958333333333334,0.3278688524590164,0.31085223789086447,0.6616541353383458,0.5054945054945055,0.3812566560170394,0.5931034482758621,0.43200000000000005,0.3599182004089978,0.6714285714285715,0.6125,0.33472803347280344,0.515418502202643,0.6950354609929077,0.5740740740740742,0.6973684210526316,0.1208791208791209,0.6799999999999999,0.5568181818181814,0.3557046979865771,0.25396825396825395,0.3490453460620525,0.44525547445255453,0.44444444444444464,0.44086021505376327,0.5460122699386503,0.6,0.7213375796178347,0.48571428571428577,0.33333333333333326,0.6629213483146068,0.49122807017543857,0.5217391304347827,0.3448275862068965,0.4675324675324676,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3548387096774194,0.22727272727272724,0.42391304347826075,0.5763888888888888,0.44262295081967223,0.24586143470263633,0.8195488721804511,0.4285714285714288,0.1565495207667733,0.44137931034482775,0.4159999999999999,0.6467280163599183,0.6857142857142857,0.17500000000000004,0.5313807531380754,0.4757709251101323,0.5460992907801416,0.5740740740740742,0.3684210526315789,0.17582417582417587,0.56,0.5909090909090906,0.34899328859060397,0.30158730158730157,0.4803102625298329,0.4525547445255471,0.44444444444444464,0.43499511241446753,0.5214723926380367,0.525,0.5530785562632698,0.4571428571428572,0.3866666666666667,0.6142322097378278,0.46491228070175405,0.5289855072463767,0.4827586206896552,0.5584415584415586,0.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22580645161290336,0.5227272727272727,0.826086956521739,0.3958333333333334,0.45901639344262296,0.5573267933782956,0.4285714285714284,0.4065934065934069,0.4068157614483492,0.5655172413793104,0.512,0.5787321063394681,0.41428571428571437,0.375,0.8326359832635984,0.515418502202643,0.6737588652482269,0.537037037037037,0.618421052631579,0.08791208791208782,0.28,0.386363636363636,0.10067114093959734,0.09523809523809523,0.42541766109785206,0.32846715328467146,0.2777777777777779,0.34115347018572817,0.5276073619631902,0.41666666666666674,0.34660297239915083,0.6,0.4800000000000002,0.45692883895131087,0.2192982456140351,0.47101449275362306,0.25862068965517243,0.5454545454545455,0.0
